,FEDFUNDS
1996-11-30,0.27611548556430443
1996-12-31,0.27506561679790026
1997-01-31,0.27296587926509186
1997-02-28,0.2698162729658793
1997-03-31,0.28031496062992123
1997-04-30,0.2866141732283464
1997-05-31,0.2860892388451443
1997-06-30,0.28923884514435694
1997-07-31,0.28713910761154854
1997-08-31,0.28818897637795277
1997-09-30,0.28818897637795277
1997-10-31,0.2860892388451443
1997-11-30,0.28713910761154854
1997-12-31,0.2860892388451443
1998-01-31,0.28923884514435694
1998-02-28,0.2866141732283464
1998-03-31,0.28556430446194225
1998-04-30,0.28346456692913385
1998-05-31,0.28556430446194225
1998-06-30,0.28923884514435694
1998-07-31,0.28818897637795277
1998-08-31,0.2887139107611548
1998-09-30,0.2866141732283464
1998-10-31,0.2635170603674541
1998-11-30,0.25091863517060364
1998-12-31,0.24304461942257216
1999-01-31,0.24041994750656165
1999-02-28,0.24724409448818896
1999-03-31,0.24986876640419942
1999-04-30,0.2461942257217848
1999-05-31,0.2461942257217848
1999-06-30,0.24724409448818896
1999-07-31,0.25931758530183724
1999-08-31,0.2635170603674541
1999-09-30,0.2713910761154855
1999-10-31,0.27034120734908135
1999-11-30,0.2818897637795275
1999-12-31,0.2755905511811023
2000-01-31,0.28346456692913385
2000-02-29,0.29816272965879265
2000-03-31,0.3044619422572178
2000-04-30,0.3133858267716535
2000-05-31,0.326509186351706
2000-06-30,0.3401574803149606
2000-07-31,0.34068241469816274
2000-08-31,0.33858267716535434
2000-09-30,0.3396325459317585
2000-10-31,0.3391076115485564
2000-11-30,0.3391076115485564
2000-12-31,0.3333333333333333
2001-01-31,0.31128608923884515
2001-02-28,0.28556430446194225
2001-03-31,0.27611548556430443
2001-04-30,0.24934383202099736
2001-05-31,0.2183727034120735
2001-06-30,0.2057742782152231
2001-07-31,0.1952755905511811
2001-08-31,0.1889763779527559
2001-09-30,0.1585301837270341
2001-10-31,0.12808398950131233
2001-11-30,0.10708661417322833
2001-12-31,0.09291338582677165
2002-01-31,0.08818897637795275
2002-02-28,0.08871391076115485
2002-03-31,0.08818897637795275
2002-04-30,0.08923884514435695
2002-05-31,0.08923884514435695
2002-06-30,0.08923884514435695
2002-07-31,0.08818897637795275
2002-08-31,0.08871391076115485
2002-09-30,0.08923884514435695
2002-10-31,0.08923884514435695
2002-11-30,0.06771653543307087
2002-12-31,0.06246719160104987
2003-01-31,0.06246719160104987
2003-02-28,0.06351706036745407
2003-03-31,0.06299212598425197
2003-04-30,0.06351706036745407
2003-05-31,0.06351706036745407
2003-06-30,0.06141732283464567
2003-07-31,0.050393700787401574
2003-08-31,0.051443569553805774
2003-09-30,0.050393700787401574
2003-10-31,0.050393700787401574
2003-11-30,0.049868766404199474
2003-12-31,0.048818897637795275
2004-01-31,0.049868766404199474
2004-02-29,0.050393700787401574
2004-03-31,0.049868766404199474
2004-04-30,0.049868766404199474
2004-05-31,0.049868766404199474
2004-06-30,0.051443569553805774
2004-07-31,0.06351706036745407
2004-08-31,0.07244094488188976
2004-09-30,0.08188976377952756
2004-10-31,0.08976377952755905
2004-11-30,0.09868766404199475
2004-12-31,0.11076115485564306
2005-01-31,0.11706036745406823
2005-02-28,0.12860892388451445
2005-03-31,0.1354330708661417
2005-04-30,0.14383202099737535
2005-05-31,0.1548556430446194
2005-06-30,0.1569553805774278
2005-07-31,0.16850393700787403
2005-08-31,0.18110236220472442
2005-09-30,0.18740157480314962
2005-10-31,0.1958005249343832
2005-11-30,0.20734908136482938
2005-12-31,0.21574803149606298
2006-01-31,0.22257217847769029
2006-02-28,0.23307086614173228
